データコード,FF'FOF_FFYF420L700,FF'FOF_FFYF430L700,FF'FOF_FFYF410L700,FF'FOF_FFYF100L700,FF'FOF_FFYF500L700,FF'FOF_FFYF440L700
系列名称,"負債・資金過不足／一般政府／フロー","負債・資金過不足／家計／フロー","負債・資金過不足／非金融法人企業／フロー","負債・資金過不足／金融機関／フロー","負債・資金過不足／海外／フロー","負債・資金過不足／対家計民間非営利団体／フロー"
1980,-107259,258668,-172290,6617,15978,-1714
1981,-122326,230856,-123508,26829,-13639,1788
1982,-92970,245581,-168128,19902,-22805,18420
1983,-126658,264145,-126276,36344,-56779,9224
1984,-71518,285888,-145747,12209,-89483,8651
1985,-31817,327615,-186519,5955,-124774,9540
1986,-16084,398110,-229258,-3627,-148025,-1116
1987,21850,352603,-258218,-21995,-112029,17789
1988,77067,252257,-206412,-46313,-98726,22127
1989,60963,363008,-336800,-16251,-86599,15679
1990,112239,459043,-396044,-131515,-54340,10617
1991,169147,452340,-372643,-114109,-111408,-23327
1992,-16125,513939,-393689,35870,-148648,8653
1993,-85453,475944,-232991,-36389,-140284,19173
1994,-178058,388396,-50166,-33391,-122388,-4393
1995,-173480,327051,-109108,38848,-91983,8672
1996,-220925,275111,-6724,16957,-68742,4323
1997,-197415,343171,-107610,67036,-123200,18018
1998,-581462,402485,277880,61470,-122408,-37965
1999,-365658,274127,230960,-64623,-120384,45578
2000,-331281,174341,180625,99079,-129276,6631
2001,-392165,130030,205210,153427,-110063,13579
2002,-350235,98026,236840,155140,-127820,-11951
2003,-416558,41592,519743,7221,-172707,20709
2004,-324152,86405,283978,122882,-188256,19143
2005,-199679,95137,88550,201235,-186915,1672
2006,-144197,202868,-29586,165653,-213778,19040
2007,-80960,183487,106177,40360,-239519,-9545
2008,-282910,118975,92955,161864,-101945,11061
2009,-444220,137422,308607,155779,-162664,5076
2010,-401919,199975,335902,35807,-177883,8118
2011,-432583,217525,245875,62626,-84413,-9030
2012,-367183,152894,236033,19086,-38785,-2045
2013,-314415,53215,259455,20435,-18090,-600
2014,-254891,195216,192658,-70128,-84325,21470
2015,-121302,121770,206621,-20774,-175949,-10366
2016,-131598,190914,77225,54796,-214286,22949
2017,-119943,105772,192779,17981,-220940,24351
2018,-107038,213608,91440,2938,-192189,-8759
2019,-124945,184127,44846,79129,-182108,-1049
2020,-526135,413625,72758,183181,-167251,23822
2021,-351730,308005,143519,65768,-197513,31951
2022,-207884,179178,113034,-29400,-89212,34284
2023,-148507,126524,210518,40212,-258324,29577
2024,-61062,72027,238112,39966,-301352,12309
