年度,一般政府資金過不足_億円,名目GDP_兆円,名目GDP_億円,資金過不足GDP比_%
1980,-107259.0,249.4,2494000.0,-4.300681635926223
1981,-122326.0,263.3,2633000.0,-4.6458792252183825
1982,-92970.0,273.3,2733000.0,-3.4017563117453347
1983,-126658.0,284.8,2848000.0,-4.4472612359550565
1984,-71518.0,301.8,3018000.0,-2.369715043074884
1985,-31817.0,320.4,3204000.0,-0.9930399500624221
1986,-16084.0,335.6,3356000.0,-0.47926102502979734
1987,21850.0,351.9,3519000.0,0.6209150326797386
1988,77067.0,376.4,3764000.0,2.0474760892667376
1989,60963.0,403.8,4038000.0,1.5097325408618127
1990,112239.0,440.2,4402000.0,2.5497273966378917
1991,169147.0,467.5,4675000.0,3.6181176470588237
1992,-16125.0,478.2,4782000.0,-0.3372020075282309
1993,-85453.0,482.4,4824000.0,-1.7714137645107795
1994,-178058.0,487.4,4874000.0,-3.6532211735740665
1995,-173480.0,495.2,4952000.0,-3.503231017770598
1996,-220925.0,509.4,5094000.0,-4.336965056929721
1997,-197415.0,515.8,5158000.0,-3.82735556417216
1998,-581462.0,505.8,5058000.0,-11.495887702649268
1999,-365658.0,502.3,5023000.0,-7.2796735018913
2000,-331281.0,505.5,5055000.0,-6.55353115727003
2001,-392165.0,498.6,4986000.0,-7.865322904131568
2002,-350235.0,491.3,4913000.0,-7.128740077345817
2003,-416558.0,490.3,4903000.0,-8.495982051805019
2004,-324152.0,498.3,4983000.0,-6.5051575356211115
2005,-199679.0,503.9,5039000.0,-3.962671164913673
2006,-144197.0,512.4,5124000.0,-2.814149102263856
2007,-80960.0,521.9,5219000.0,-1.551255029699176
2008,-282910.0,504.4,5044000.0,-5.608842188739096
2009,-444220.0,471.1,4711000.0,-9.429420505200595
2010,-401919.0,499.2,4992000.0,-8.05126201923077
2011,-432583.0,490.3,4903000.0,-8.822822761574546
2012,-367183.0,494.9,4949000.0,-7.419337239846434
2013,-314415.0,505.0,5050000.0,-6.2260396039603965
2014,-254891.0,513.8,5138000.0,-4.960899182561308
2015,-121302.0,532.2,5322000.0,-2.2792559188275083
2016,-131598.0,537.4,5374000.0,-2.4487904726460736
2017,-119943.0,548.0,5480000.0,-2.1887408759124085
2018,-107038.0,555.7,5557000.0,-1.926183192369984
2019,-124945.0,560.9,5609000.0,-2.2275806739169193
2020,-526135.0,537.5,5375000.0,-9.788558139534883
2021,-351730.0,542.6,5426000.0,-6.482307408772576
2022,-207884.0,556.1,5561000.0,-3.7382485164538752
2023,-148507.0,591.5,5915000.0,-2.510684699915469
2024,-61062.0,600.0,6000000.0,-1.0177
