date,export_index,import_index,terms_of_trade,tot_yoy
2023/11,137.2,167.0,82.15568862275448,12.116134703070891
2023/12,133.6,161.7,82.6221397649969,11.2296474464741
2024/01,135.8,162.6,83.5178351783518,9.671927227746856
2024/02,137.7,164.7,83.60655737704919,9.147462733283774
2024/03,138.7,164.3,84.41874619598295,7.69058065285344
2024/04,141.8,167.7,84.5557543231962,4.396395888796589
2024/05,144.0,171.6,83.91608391608392,4.066344190279114
2024/06,145.1,172.3,84.21358096343586,1.4171204563489193
2024/07,145.2,173.0,83.93063583815028,0.2807597027250086
2024/08,137.6,162.3,84.78126925446703,0.7214180056814401
2024/09,135.1,157.6,85.72335025380711,2.1116378023290805
2024/10,138.5,162.1,85.44108574953732,3.803424353604523
2024/11,141.2,164.7,85.73163327261688,4.3526439980103415
2024/12,140.0,163.6,85.57457212713938,3.5734155161559755
2025/01,141.7,166.0,85.36144578313252,2.2074453927639626
2025/02,139.8,162.8,85.87223587223588,2.709929180517423
2025/03,138.3,160.2,86.32958801498128,2.2635278360593203
2025/04,135.7,155.5,87.2668810289389,3.2063183960017616
2025/05,134.5,153.9,87.39441195581547,4.1450075806801046
2025/06,134.7,151.6,88.85224274406333,5.5082110599732115
2025/07,137.1,154.7,88.62314156431805,5.59093313104011
2025/08,137.6,155.4,88.54568854568853,4.44015444015442
2025/09,138.3,155.8,88.76765083440307,3.5513084493110414
2025/10,141.8,159.7,88.79148403256106,3.921296474210445
